コメント,メンバー,ハッシュタグ
人生は近過ぎちゃ見えなくなる 一歩引いて見てごらん,#僕は僕を好きになる,#乃木坂46 #歌詞
僕は僕を好きなる,#僕は僕を好きになる,#乃木坂46 #歌詞
2期生のみんなって、本当に自分のことよりも、人がくじけていたら、すぐに手を差し伸べられる、強くて優しい人たちの集まりだなって思っていて,#堀未央奈,#乃木坂46 #名言
昨日 途中であきらめたこと 今日もう一度 始めよう,#命は美しい,#乃木坂46 #歌詞
その手 放せば楽なのに しがみつくのはなぜだろう,#命は美しい,#乃木坂46 #歌詞
そんな期間をアンダーメンバーとして活動することで、「4期生」 から「乃木坂46」の矢久保美緒として認められた気持ちになった思い出の曲が「マシンガンレイン」でした,#矢久保美緒,#乃木坂46 #名言
珍味はもうこりごりです。虫を食べたほうがマシかも,#矢久保美緒,#乃木坂46 #名言
ふつうがダメなわけじゃないし、自分にとってのふつうがほかの人から見たら「ふつうじゃない」かもしれない。ふつうの基準だって人によって違うんだから、気にする必要はないと思うんです,#与田祐希,#乃木坂46 #名言
一番良くないのは、ひとつの考え方に自分を縛ることだと思うんです,#与田祐希,#乃木坂46 #名言
いつもの夏と違うんだ 君は気づいていないけど,#裸足でSummer,#乃木坂46 #歌詞
繋いだ手がちょっぴり汗ばんでいたけど 離しちゃったらあなたがどこか行ってしまいそうで 嫌われないように何度も繋ぎ直した,#立ち直り中,#乃木坂46 #歌詞
後輩から話しかけてもらったときに、その子の頑張っていた部分を認めてあげられる先輩でいたいと思っています,#鈴木絢音,#乃木坂46 #名言
（久保は）ちょっとしたことで 「私は持ってない」と思いがちなので「そんなことないんだよ」ということを毎回きちんと言葉にして発信してあげる必要があるなと思っています,#鈴木絢音,#乃木坂46 #名言
私は、中身や形は変わらずに、そのまま大きくなった、強くなったという感じです,#鈴木絢音,#乃木坂46 #名言
なんか、ずっと生きづらかったんですよね。乃木坂に入る前はずっと。違和感というか、今の場所は違うな、って感じていたというか,#鈴木絢音,#乃木坂46 #名言
そこで初めて私の性格を個性として認めてくれたのが、２期生だったんです。「あなたらしく生きていいんだよ」って行動に示してくれた。乃木坂に出会って、仲間たちのおかげで居場所を見つけられたから…でしょうね,#鈴木絢音,#乃木坂46 #名言
乃木坂に出会って、仲間たちのおかげで居場所を見つけられたから…でしょうね,#鈴木絢音,#乃木坂46 #名言
卒業後も今も、ささやかな暮らしができたらいいと思っているんです。外国製の美味しいチョコレートをひとかけら食べられたらもう、それだけで幸せな気持ちになれるので,#鈴木絢音,#乃木坂46 #名言
努力 感謝 笑顔,,#乃木坂46 #名言
