コメント,メンバー,ハッシュタグ
嬉しくてしあわせなはずなのに涙が溢れてきました。いつもの悔しい、悲しい、怖いの涙とは全く違くて、あの瞬間少し自分を認めて許してあげられた気がしました,#清宮レイ,#乃木坂46 #名言
今までなんとなくごまかしてきた弱点を突き付けられた気がしていて。「自分ってこんなもんか」と思い知りました。だけど、今の自分の形を知れたので、これからは上がっていくと思います,#清宮レイ,#乃木坂46 #名言
私は自分がこんなにもできない人間で、プレッシャーに弱くて、本番に弱くて、プライドが高くて、自分に甘くて、今まで目を背けてきたものと向き合わないといけないんだなと思いました,#清宮レイ,#乃木坂46 #名言
私はこんなものかと。踏ん切りがつきました。あとはそれをどう直すか、良くするか、そこに鍵があるように感じました。人の根本を直すことは難しいけど、アップグレードはいつだって無限にできるんです,#清宮レイ,#乃木坂46 #名言
３期生は周囲や先のことを考えて行動している。無意識のうちに比べてしまい 自分には足りないと痛感してしまいます 経験も 気づきも 配慮も…,#清宮レイ,#乃木坂46 #名言
安定よりも波乱万丈の人生が好きだし、そのほうが結果的に楽しめる自分がいるので、何か試練があったり、自分の気持ちに波風が立つような体験をたくさんしたいです。困難を強いられるのは好きなほうなので（笑）,#清宮レイ,#乃木坂46 #名言
あなたはこの乃木坂46を変えることができますか？,#生駒里奈,#乃木坂46 #名言
初めて自分の命をかけても守りたいと思った人たちに出会えたのが、乃木坂のメンバーだったんです,#生駒里奈,#乃木坂46 #名言
自分のために涙を流してくれる人がいるってことを教えてくれたのがメンバーでした,#生駒里奈,#乃木坂46 #名言
人が嫌いだったけど、人を好きにしてくれて本当にありがとうございます,#生駒里奈,#乃木坂46 #名言
乃木坂が好きだから ほんとうに入ってよかった。みんなに出会えてほんとうによかった。それしかない。,#生駒里奈,#乃木坂46 #名言
うちはアイドルのときは自分の素が透けて見える部分が結構苦手だったりしてて、むしろ役になりきった自分を見せてお客さんに楽しんでもらったほうが自分に合ってたから、その瞬間はすごい楽しかったなって思う,#生駒里奈,#乃木坂46 #名言
人はね、限界だと思ってからもうちょっといける,#生田絵梨花,#乃木坂46 #名言
本当に自分がいっつも追いついてない,#生田絵梨花,#乃木坂46 #名言
知らない景色にもっともっと出会いたい,#生田絵梨花,#乃木坂46 #名言
初心にかえるとワクワクしてた自分や、頑張ろうと決意した自分を思い出す,#生田絵梨花,#乃木坂46 #名言
もっと毎日 目標作って生きなきゃダメよ,#生田絵梨花,#乃木坂46 #名言
失敗がわかること自体、成長している証拠だと思っている,#生田絵梨花,#乃木坂46 #名言
今までは勢いでいけたものが、これからは勢いだけでは難しくなってくると思います,#生田絵梨花,#乃木坂46 #名言
それよりは、やることをやって「ついて来い！」って言われるほうが「よし！」って応援したくなると思う。もうここまで来たら、そういうのが務めなんだろうなって,#生田絵梨花,#乃木坂46 #名言
自分を信じるには いろいろな経験が必要で 学びも必要,#生田絵梨花,#乃木坂46 #名言
あのときは言えなかったけど、真夏お帰り 一緒に頑張ろう,#西野七瀬,#乃木坂46 #名言
うまくできないこともたくさんあるけど、壁があるほうが燃えるし、それを乗り越えられた時の喜びは計り知れないんです,#西野七瀬,#乃木坂46 #名言
勝ちたいなら やれ 負けてもいいなら やめろ,#西野七瀬,#乃木坂46 #名言
チャンスに出会えるかどうかは、巡ってきた機会を自分で「チャンスだと捉えるかどうか」だと思っています,#西野七瀬,#乃木坂46 #名言
相手があんまり楽しそうに話してなくても、こっちが笑うと、笑顔になってくれたりするんです。そうすると嬉しくて嬉しくて,#西野七瀬,#乃木坂46 #名言
自分に嘘付きたくなくて、思った事とかは嫌われてもいいから素直に言う,#西野七瀬,#乃木坂46 #名言
誰のせいか責任をなすりつけ合い 来ることのない夜明けの空を待っても 結局は君自身どうしたいか聞こう,#絶望の一秒前,#乃木坂46 #歌詞
優しさに絆されて取り繕っても  ああ そのうち僕は裏切るだろう,#絶望の一秒前,#乃木坂46 #歌詞
生き方にさえケチをつけて背中向けても 今日も明日も眠れない夜は変わらず 無力な自分 低い天井を睨む,#絶望の一秒前,#乃木坂46 #歌詞
現実から目を背けるな 一番大切なもの,#絶望の一秒前,#乃木坂46 #歌詞
ワンちゃんがいいです！必要とされたいんです(笑) 猫ちゃんは自由きままだから、追いかける感じになっちゃうので、私はそれよりももっと必要とされたいなって,#早川聖来,#乃木坂46 #名言
覚えることも多いし、絶対に大変だと思うので、そういった部分を気にかけてあげられる人になりたいなと思います,#早川聖来,#乃木坂46 #名言
必要な苦労はした方がいいと思うんですけど、無駄な苦労はあんまりしてほしくないんです,#早川聖来,#乃木坂46 #名言
日本人特有の「空気で察せよ」みたいな感じで、具体的に「それはこういうことだよ」と伝えない雰囲気があったりするので、そこは具体的にしっかり教えてあげたいなって,#早川聖来,#乃木坂46 #名言
これからはこの子たちが”一番下の後輩の責任感”を背負っていくんだなという思いも込み上げてきます,#早川聖来,#乃木坂46 #名言
先輩たちに比べたらまだ信頼感もないし、だからこそ。一番下の後輩の責任感は、想像以上に重いんです,#早川聖来,#乃木坂46 #名言
未来とは 今が入り口 見逃せば前に進めない,#太陽ノック,#乃木坂46 #歌詞
有明がサイリウムで埋まっていたとき…涙がこみ上げてきました。『でも、泣いちゃダメだ』ってなんとかこらえて、コンサートが終わった後で号泣しました（笑),#中元日芽香,#乃木坂46 #名言
可愛いを纏うと、自分の核を隠せてるような気がして安心します。可愛いは武器ではなく、盾です。私にとって,#中西アルノ,#乃木坂46 #名言
これが「乃木坂４６」かと。わたしは本当にとんでもないグループに飛び込んでしまったのだと,#中西アルノ,#乃木坂46 #名言
「乃木坂４６」を何も知らない私にとって、あの２日間はグループの持つ凄まじいパワーと卓越したオーラに心を奪われるほど魅せられた時間でした,#中西アルノ,#乃木坂46 #名言
サボってみよう心をちょっぴり 愛しているばかりじゃ疲れちゃうよね,#釣り堀,#乃木坂46 #歌詞
私の目標は、自分がいるだけでみんなが明るくなれる人になることなので,#田村真佑,#乃木坂46 #名言
やりたいことはいつもいっぱいあったのに できない理由さがしていた,#逃げ水,#乃木坂46 #歌詞
一瞬の光が重なって 折々の色が四季をつくる そのどれが欠けたって 永遠は生まれない,#二人セゾン,#欅坂46 #歌詞
想像しなきゃ 夢は見られない,#二人セゾン,#欅坂46 #歌詞
右か左かを選ぶなら 自分で決められても 相手がいるのは そう簡単にいかない,#猫舌カモミールティー,#乃木坂46 #歌詞
泣かないって決めてたんですよ。なのに、アンダーのためだけの『Overture』を聴いた瞬間、お客さんの『オイ！オイ！』って声の大きさに涙が出てきました,#能條愛未,#乃木坂46 #名言
私だったら躊躇していたかもしれないけど、リアルな気持ちを抑えることなく発言するまあやさんはすごいです,#梅澤美波,#乃木坂46 #名言
（早川）聖来や（清宮）レイちゃんが自分の意見を積極的に発言してくれるので、４期生にたくましさを感じるようになりました,#梅澤美波,#乃木坂46 #名言
私達が堂々としていないと、ファンの方はもっと戸惑ってしまう……とは常々感じています。顔ぶれの変化は歴史を刻んできた証拠でもあるので、守るべきものを大事にしていきたいと思っています,#梅澤美波,#乃木坂46 #名言
『7th YEAR BIRTHDAY LIVE』が一つのターニングポイントだったなって思いますね。ご卒業された先輩のポジションに入ることをたくさん経験したライブだったので、精神的にすごく強くなったなって思います,#梅澤美波,#乃木坂46 #名言
ポジションとか関係なく 全員で乃木坂46,#白石麻衣,#乃木坂46 #名言
たくさん笑うことによって まとう空気からも楽しい感じが出ると思いますし 周りもそういう空気になってくれたら嬉しいし,#白石麻衣,#乃木坂46 #名言
共通点があればどんな小さなっことでも話が広がると思うので 何も話しかけないより 小さなことから話してみたほうがいい,#白石麻衣,#乃木坂46 #名言
個性って自分から発信するのもではなくて 周りに人に見つけてもらうもの,#白石麻衣,#乃木坂46 #名言
自分のルールにとらわれずに周りの意見に耳を傾けること そうすれば新しい自分に出会える,#白石麻衣,#乃木坂46 #名言
ポジティブであることを心がけています ネガティブだと全然いい表情もできないし いいものも出てこない,#白石麻衣,#乃木坂46 #名言
イメージすることはとても大事だと思うので「こうなりたい」という気持ちはいつも持っていてほしい それを誰かに話したり 表に出していったりすることは必要かなと思います,#白石麻衣,#乃木坂46 #名言
本当にやりたいことがあるんだったら いろいろ言葉にすれば 誰かの目に留まる可能性があるので 積極的に発信したほうが 夢は叶うんじゃないかなって ,#白石麻衣,#乃木坂46 #名言
常に自信はないです 見た目から「気が強い」と見られがちなんですけど 実際は真逆でメンタルも弱いし 自分が思っていることも言えない,#白石麻衣,#乃木坂46 #名言
